Rank,Title,Genre,Number_of_season,Number_of_episodes,Type,Actors,Creators,Origin,Language,Certification,Rating
22,Sahsiyet,"[' Crime', ' Drama', ' Mystery']",1,12 episodes,"TV Mini-Series (2018)
","[' Haluk Bilginer\n', ' Cansu Dere\n', ' Metin Akdülger\n', ' Sebnem Bozoklu\n', ' Hüseyin Avni Danyal\n', ' Necip Memili\n', ' Senay Gürler\n', ' Ayhan Kavas\n', ' Önder Selen\n', ' Ibrahim Selim\n', ' Firat Topkorur\n', ' Recep Usta\n', ' Rabia Soyturk\n', ' Alptekin Ertürk\n', ' Müjde Ar\n', ' Yusufcan Sancakli\n', ' Hümeyra\n', ' Volkan Uygun\n', ' Avni Yalçin\n', ' Okan Avci\n', ' Cengiz Samsun\n', ' Ömer Çobanoglu\n', ' Can Ilhan\n', ' Bekir Hakan Uyanik\n', ' Ali Seçkiner Alici\n', ' Erkan Ayan\n', ' Turhan Kaya\n']",[],['Turkey'],Turkish,,9.1
23,The Beatles Anthology,"[' Documentary', ' Music']",1,8 episodes,"TV Mini-Series (1995–1996)
","[' Paul McCartney\n', ' George Harrison\n', ' Ringo Starr\n', ' George Martin\n', ' Neil Aspinall\n', ' Derek Taylor\n']",[],['UK'],French,,9.1
24,Planète des hommes,[' Documentary'],1,8 episodes,"TV Mini-Series (2011)
",[' John Hurt\n'],[],['UK'],English,,9.0
25,The Blue Planet,[' Documentary'],1,10 episodes,"TV Series (2001)
","[' David Attenborough\n', ' Pierce Brosnan\n']",[],['UK'],English,,9.0
26,Batman,"[' Animation', ' Action', ' Adventure', ' Family', ' Sci-Fi']",4,85 episodes,"TV Series (1992–1995)
","[' Kevin Conroy\n', ' Efrem Zimbalist Jr.\n', ' Bob Hastings\n']","['Bob Kane', 'Eric Radomski', 'Bruce Timm']",['USA'],English,Tous publics,9.0
27,Terres de glace,[' Documentary'],1,10 episodes,"TV Mini-Series (2011–2012)
","[' David Attenborough\n', ' Alec Baldwin\n']",[],"['UK', 'USA', 'Spain', 'Germany', 'Greece', 'Canada']",Russian,,9.0
28,Firefly,"[' Adventure', ' Drama', ' Sci-Fi']",1,14 episodes,"TV Series (2002–2003)
","[' Nathan Fillion\n', ' Gina Torres\n', ' Alan Tudyk\n', ' Morena Baccarin\n', ' Adam Baldwin\n', ' Jewel Staite\n', ' Sean Maher\n', ' Summer Glau\n', ' Ron Glass\n']",['Joss Whedon'],['USA'],Mandarin,Tous publics,9.0
29,Le décalogue,[' Drama'],1,10 episodes,"TV Mini-Series (1989–1990)
","[' Artur Barcis\n', ' Olgierd Lukaszewicz\n', ' Aleksander Bardini\n', ' Olaf Lubaszenko\n', ' Krystyna Janda\n', ' Piotr Machalica\n', ' Jan Tesarz\n', ' Stanislaw Gawlik\n', ' Krzysztof Kumor\n', ' Katarzyna Piwowarczyk\n', ' Maciej Szary\n', ' Henryk Baranowski\n']",[],"['Poland', 'West Germany']",Polish,,9.0
30,True Detective,"[' Crime', ' Drama', ' Mystery', ' Thriller']",3,24 episodes,"TV Series (2014– )
","[' Matthew McConaughey\n', ' Colin Farrell\n', ' Mahershala Ali\n', ' Woody Harrelson\n', ' Rachel McAdams\n', ' Carmen Ejogo\n', ' Michelle Monaghan\n', ' Taylor Kitsch\n', ' Stephen Dorff\n', ' Michael Potts\n', ' Kelly Reilly\n', ' Scoot McNairy\n', ' Tory Kittles\n', ' Vince Vaughn\n', ' Ray Fisher\n', ' Chris Kerson\n', ' Ritchie Coster\n', ' Sarah Gadon\n', ' Christopher James Baker\n', ' Afemo Omilami\n', ' James Frain\n', ' Brett Cullen\n', ' Mamie Gummer\n', ' J.D. Evermore\n', ' Andy Mackenzie\n', ' Dana Gourrier\n', ' Michael Irby\n', ' Abigail Spencer\n', ' Timothy V. Murphy\n', ' Yara Martinez\n', ' Adria Arjona\n', ' Isaiah C. Morgan\n', ' Madison Wolfe\n', ' Alain Uy\n', ' Jon Lindstrom\n', ' Kevin Dunn\n', ' Michael Greyeyes\n', ' Jon Tenney\n', ' W. Earl Brown\n', ' Joe Chrest\n', ' Rhys Wakefield\n', ' Michael Hyatt\n', ' Leven Rambin\n', ' Emily Nelson\n', ' Lera Lynn\n', ' Kennedi Butler\n', ' Dane Rhodes\n', ' Alexandra Daddario\n', ' Scott Shepherd\n', ' Josh Hopkins\n', ' James MacDonald\n', ' Michael Broderick\n', ' C.S. Lee\n', ' Tim Griffin\n', ' Lolita Davidovich\n', ' Tony Molina Jr.\n', ' Vinicius Zorin-Machado\n', ' Trevor Larcom\n', ' Brian Oerly\n', ' Bea Santos\n', ' Matt Battaglia\n', ' Sol Landerman\n', ' Meghan Wolfe\n', ' Myk Watford\n', ' David Morse\n', ' Rick Springfield\n', ' Jackson Beals\n', ' Glenn Fleshler\n', ' Michael Harney\n', ' Gareth Williams\n', ' Alex Fernandez\n', ' Brandon Flynn\n', ' David Stanbra\n', ' Richard Meehan\n', ' L. Warren Young\n', ' Erin Moriarty\n', ' Bill Kelly\n', ' Jim Klock\n', ' Gabriel Luna\n', ' Jack Topalian\n', ' Arthur Darbinyan\n', ' Garrett Kruithof\n', ' Agnes Albright\n', ' Emily Rios\n', ' Christian Campbell\n', ' Courtney Halverson\n', ' Don Yesso\n', ' Carla Vila\n', ' Benjamín Benítez\n', ' Michael Graziadei\n', ' Robert Renderos\n', ' Ronnie Gene Blevins\n', ' Corbin Pitts\n', ' Michael Rooker\n', ' Jay O. Sanders\n', ' Fred Ward\n', ' Lili Simmons\n', ' Shea Whigham\n', ' Christopher Berry\n', ' Brad Carter\n', ' Johnny McPhail\n', ' Deborah Ayorinde\n', ' Steven Williams\n', ' Phoenix Elkin\n', ' Charles Halford\n', ' Jodi Balfour\n', ' Lena McCarthy\n', ' Greg Bryan\n', ' Lindsay Musil\n', ' Pedro Miguel Arce\n', ' Molly Hagan\n', ' Ashley Hinshaw\n', ' Sola Bamis\n', ' Nathan Wetherington\n', ' Lennon Morgan\n', ' Nick Basta\n', ' Alyshia Ochse\n', ' Harlon Miller\n', ' Bailey Rae Fenderson\n', ' Jaiden Alexander McLeod\n', ' Miranda Rae Mayo\n', ' Bojesse Christopher\n', ' Brighton Sharbino\n', ' Weronika Rosati\n', ' Mark Chaet\n', ' Chet Grissom\n', ' Michael A. Klucher\n', ' Luke Edwards\n', ' Lawrence Turner\n', ' Stevin Knight\n', ' Cullen Moss\n', ' Joseph Sikora\n', ' Jancey Sheats\n', ' Jamison Jones\n', ' Anjul Nigam\n', ' Riley Smith\n', ' Ronny Cox\n', ' Thomas W. Moore\n', ' Cooper Roth\n']",['Nic Pizzolatto'],['USA'],English,12,9.0
31,The Civil War,"[' Documentary', ' History', ' War']",1,9 episodes,"TV Mini-Series (1990)
","[' Sam Waterston\n', ' Julie Harris\n', ' Jason Robards\n', ' Morgan Freeman\n', ' Paul Roebling\n', ' Garrison Keillor\n', ' George Black\n', ' David McCullough\n', ' Arthur Miller\n', ' Christopher Murney\n', ' Charles McDowell\n', ' Horton Foote\n', ' George Plimpton\n', ' Philip Bosco\n', ' Terry Courier\n', ' Jody Powell\n', ' Studs Terkel\n', ' Jeremy Irons\n', ' Derek Jacobi\n', ' Kurt Vonnegut Jr.\n', ' Gene Jones\n', ' Jerome Dempsey\n', ' Laurence Fishburne\n', ' Betsy Apple\n', ' Carol Craven\n', ' Marissa Copeland\n', ' Halo Wines\n', ' David Marks\n', ' Pamela Reed\n', ' Ronnie Gilbert\n', ' M. Emmet Walsh\n', ' Hoyt Axton\n', ' John Hartford\n', ' Walt MacPherson\n', ' Colleen Dewhurst\n', ' LaTanya Richardson Jackson\n', ' Bradford Washburn\n', ' Jesse Carr\n', ' Wendy Tilghman\n', ' Joe Mattys\n', ' Shelby Foote\n', ' Ed Bearss\n', ' Barbara Fields\n', ' James Symington\n', ' Stephen B. Oates\n']",[],['USA'],English,,9.0
32,Death Note,"[' Animation', ' Crime', ' Drama', ' Fantasy', ' Mystery', ' Thriller']",1,37 episodes,"TV Series (2006–2007)
","[' Mamoru Miyano\n', ' Brad Swaile\n', ' Vincent Tong\n', ' Ryô Naitô\n', ' Trevor Devall\n', ' Brian Drummond\n', ' Naoya Uchida\n', ' Chris Britton\n', ' Keiji Fujiwara\n', ' Kappei Yamaguchi\n', ' Aya Hirano\n', ' Shannon Chan-Kent\n', ' Alessandro Juliani\n', ' Shidô Nakamura\n', ' John Murphy\n', ' Kazuya Nakai\n', ' Kiyoshi Kobayashi\n', ' French Tickner\n', ' Masaki Aizawa\n', ' Brian Dobson\n', ' Ai Satô\n', ' Hideo Ishikawa\n']",[],['Japan'],Japanese,10,9.0
